short_name,nationality_name,club_name,macro_pos,perfil,cluster,overall,age,score_impacto,rank_global
W. Weghorst,Netherlands,VfL Wolfsburg,FWD,Pivote / Referencia,2,83,28,86.03,24
Bernardo Silva,Portugal,Manchester City,MID,Mediocampista Élite,1,86,26,85.98,25
R. Lukaku,Belgium,Chelsea,FWD,Delantero Estrella,1,88,28,85.91,26
Koke,Spain,Atlético de Madrid,MID,Mediocampista Élite,1,85,29,85.89,27
Y. Tielemans,Belgium,Leicester City,MID,Mediocampista Élite,1,84,24,85.77,28
A. Griezmann,France,Atlético de Madrid,FWD,Delantero Estrella,1,85,30,85.7,29
T. Courtois,Belgium,Real Madrid CF,GK,Portero Titular,1,89,29,85.69,30
Adryan Zonta,Brazil,RB Bragantino,DEF,Lateral Ofensivo,2,81,29,85.68,31
L. Goretzka,Germany,FC Bayern München,MID,Mediocampista Élite,1,87,26,85.67,32
Adama Traoré,Spain,Wolverhampton Wanderers,FWD,Extremo / Delantero Dinámico,3,78,25,85.6,33
Marcos Llorente,Spain,Atlético de Madrid,MID,Mediocampista Élite,1,86,26,85.56,34
İ. Gündoğan,Germany,Manchester City,MID,Mediocampista Élite,1,85,30,85.27,35
A. Davies,Canada,FC Bayern München,DEF,Lateral Ofensivo,2,82,20,85.26,36
A. Laporte,Spain,Manchester City,DEF,Defensa Élite,1,86,27,85.25,37
D. Mertens,Belgium,Napoli,FWD,Delantero Estrella,1,84,34,85.24,38
Sergio Busquets,Spain,FC Barcelona,MID,Mediocampista Élite,1,86,32,85.23,39
S. Milinković-Savić,Serbia,Lazio,MID,Mediocampista Élite,1,85,26,85.17,40
Gerard Moreno,Spain,Villarreal CF,FWD,Delantero Estrella,1,86,29,85.13,41
M. Diaby,France,Bayer 04 Leverkusen,FWD,Extremo / Delantero Dinámico,3,81,21,85.12,42
G. Wijnaldum,Netherlands,Paris Saint-Germain,MID,Mediocampista Élite,1,84,30,85.07,43
W. Szczęsny,Poland,Juventus,GK,Portero Titular,1,87,31,84.92,44
E. Hazard,Belgium,Real Madrid CF,FWD,Delantero Estrella,1,85,30,84.84,45
R. Varane,France,Manchester United,DEF,Defensa Élite,1,86,28,84.75,46
L. Martínez,Argentina,Inter,FWD,Delantero Estrella,1,85,23,84.71,47
N. Kanté,France,Chelsea,MID,Mediocampista Élite,1,90,30,84.68,48
S. de Vrij,Netherlands,Inter,DEF,Defensa Élite,1,85,29,84.66,49
J. Sancho,England,Manchester United,MID,Mediocampista Élite,1,87,21,84.56,50
Á. Di María,Argentina,Paris Saint-Germain,FWD,Delantero Estrella,1,87,33,84.55,51
T. Partey,Ghana,Arsenal,MID,Mediocampista Élite,1,83,28,84.52,52
Á. Correa,Argentina,Atlético de Madrid,FWD,Delantero Estrella,1,83,26,84.51,53
Diogo Jota,Portugal,Liverpool,FWD,Delantero Estrella,1,82,24,84.51,54
H. Lloris,France,Tottenham Hotspur,GK,Portero Titular,1,87,34,84.47,55
A. Kramarić,Croatia,TSG Hoffenheim,FWD,Delantero Estrella,1,83,30,84.43,56
M. Kovačić,Croatia,Chelsea,MID,Mediocampista Élite,1,83,27,84.43,57
M. Brozović,Croatia,Inter,MID,Mediocampista Élite,1,84,28,84.38,58
Oyarzabal,Spain,Real Sociedad,FWD,Delantero Estrella,1,85,24,84.36,59
J. Koundé,France,Sevilla FC,DEF,Defensa Élite,1,83,22,84.35,60
Palhinha,Portugal,Sporting CP,MID,Mediocampista Defensivo,3,82,25,84.32,61
André Silva,Portugal,RB Leipzig,FWD,Delantero Estrella,1,84,25,84.31,62
P. Højbjerg,Denmark,Tottenham Hotspur,MID,Mediocampista Defensivo,3,83,25,84.23,63
T. Werner,Germany,Chelsea,FWD,Delantero Estrella,1,84,25,84.22,64
I. Gueye,Senegal,Paris Saint-Germain,MID,Mediocampista Defensivo,3,82,31,84.22,65
M. de Roon,Netherlands,Atalanta,MID,Mediocampista Defensivo,3,82,30,84.19,66
M. Mount,England,Chelsea,MID,Mediocampista Élite,1,83,22,84.18,67
H. Maguire,England,Manchester United,DEF,Defensa Élite,1,84,28,84.1,68
Rodri,Spain,Manchester City,MID,Mediocampista Élite,1,86,25,84.09,69
K. Schmeichel,Denmark,Leicester City,GK,Portero Titular,1,85,34,84.08,70
J. Giménez,Uruguay,Atlético de Madrid,DEF,Defensa Élite,1,84,26,84.06,71
M. Maignan,France,AC Milan,GK,Portero Titular,1,84,25,83.97,72
Rúben Neves,Portugal,Wolverhampton Wanderers,MID,Mediocampista Élite,1,82,24,83.88,73
E. Martínez,Argentina,Aston Villa,GK,Portero Titular,1,84,28,83.86,74
K. Koulibaly,Senegal,Napoli,DEF,Defensa Élite,1,86,30,83.85,75
C. Eriksen,Denmark,Inter,MID,Mediocampista Élite,1,82,29,83.82,76
M. Depay,Netherlands,FC Barcelona,FWD,Delantero Estrella,1,85,27,83.8,77
M. de Ligt,Netherlands,Juventus,DEF,Defensa Élite,1,85,21,83.8,78
A. Gómez,Argentina,Sevilla FC,MID,Mediocampista Élite,1,85,33,83.77,79
J. Henderson,England,Liverpool,MID,Mediocampista Élite,1,84,31,83.76,80
Y. Sommer,Switzerland,Borussia Mönchengladbach,GK,Portero Titular,1,85,32,83.69,81
J. Stones,England,Manchester City,DEF,Defensa Élite,1,83,27,83.56,82
J. Grealish,England,Manchester City,FWD,Delantero Estrella,1,84,25,83.49,83
Azpilicueta,Spain,Chelsea,DEF,Defensa Élite,1,83,31,83.43,84
A. Witsel,Belgium,Borussia Dortmund,MID,Mediocampista Élite,1,83,32,83.42,85
S. Kjær,Denmark,AC Milan,DEF,Defensa Élite,1,83,32,83.42,86
Pedri,Spain,FC Barcelona,MID,Mediocampista Élite,1,81,18,83.41,87
M. Benatia,Morocco,Fatih Karagümrük S.K.,DEF,Defensa Central Físico,3,80,34,83.26,88
Ronaldo Cabrais,Brazil,Grêmio,MID,Mediocampista Élite,1,83,29,83.2,89
P. Foden,England,Manchester City,MID,Mediocampista Élite,1,84,21,83.18,90
F. Neuhaus,Germany,Borussia Mönchengladbach,MID,Mediocampista Élite,1,82,24,83.18,91
João Félix,Portugal,Atlético de Madrid,FWD,Delantero Estrella,1,83,21,83.15,92
F. Valverde,Uruguay,Real Madrid CF,MID,Mediocampista Élite,1,83,22,83.09,93
J. Matip,Cameroon,Liverpool,DEF,Defensa Élite,1,83,29,83.07,94
L. Hernández,France,FC Bayern München,DEF,Defensa Élite,1,83,25,82.98,95
Ferran Torres,Spain,Manchester City,FWD,Delantero Estrella,1,82,21,82.96,96
L. Digne,France,Everton,DEF,Defensa Élite,1,84,27,82.96,97
D. Blind,Netherlands,Ajax,DEF,Defensa Élite,1,82,31,82.95,98
Morata,Spain,Juventus,FWD,Delantero Estrella,1,83,28,82.92,99
A. Rüdiger,Germany,Chelsea,DEF,Defensa Élite,1,83,28,82.9,100
João Moutinho,Portugal,Wolverhampton Wanderers,MID,Mediocampista Élite,1,80,34,82.83,101
F. Acheampong,Ghana,Shenzhen FC,FWD,Extremo / Delantero Dinámico,3,77,27,82.75,102
J. Pickford,England,Everton,GK,Portero Titular,1,83,27,82.74,103
Rosberto Dourado,Brazil,Sport Club Corinthians Paulista,MID,Mediocampista Defensivo,3,81,21,82.72,104
L. Sané,Germany,FC Bayern München,MID,Mediocampista Ofensivo,2,84,25,82.71,105
B. Leno,Germany,Arsenal,GK,Portero Titular,1,83,29,82.71,106
R. De Paul,Argentina,Atlético de Madrid,MID,Mediocampista Élite,1,82,27,82.7,107
A. Martial,France,Manchester United,FWD,Delantero Estrella,1,81,25,82.68,108
D. Rice,England,West Ham United,MID,Mediocampista Defensivo,3,82,22,82.68,109
N. Lodeiro,Uruguay,Seattle Sounders FC,MID,Mediocampista Élite,1,80,32,82.66,110
D. Tadić,Serbia,Ajax,FWD,Delantero Estrella,1,84,32,82.59,111
C. Lenglet,France,FC Barcelona,DEF,Defensa Élite,1,82,26,82.57,112
T. Delaney,Denmark,Sevilla FC,MID,Mediocampista Defensivo,3,81,29,82.54,113
L. Shaw,England,Manchester United,DEF,Defensa Élite,1,84,25,82.53,114
P. Kimpembe,France,Paris Saint-Germain,DEF,Defensa Élite,1,83,25,82.53,115
Dani Olmo,Spain,RB Leipzig,MID,Mediocampista Élite,1,82,23,82.49,116
L. Paredes,Argentina,Paris Saint-Germain,MID,Mediocampista Élite,1,81,27,82.49,117
Fabián,Spain,Napoli,MID,Mediocampista Élite,1,82,25,82.46,118
De Gea,Spain,Manchester United,GK,Portero Titular,1,84,30,82.46,119
J. Corona,Mexico,FC Porto,MID,Mediocampista Élite,1,82,28,82.39,120
K. Mbabu,Switzerland,VfL Wolfsburg,DEF,Lateral Ofensivo,2,79,26,82.38,121
K. Havertz,Germany,Chelsea,MID,Mediocampista Élite,1,84,22,82.37,122
L. Torreira,Uruguay,Fiorentina,MID,Mediocampista Defensivo,3,80,25,82.28,123
I. Rakitić,Croatia,Sevilla FC,MID,Mediocampista Élite,1,82,33,82.24,124
K. Baldé,Senegal,Cagliari,FWD,Extremo / Delantero Dinámico,3,76,26,82.17,125
É. Mendy,Senegal,Chelsea,GK,Portero Titular,1,83,29,82.16,126
N. Otamendi,Argentina,SL Benfica,DEF,Defensa Élite,1,81,33,82.15,127
Pau Torres,Spain,Villarreal CF,DEF,Defensa Élite,1,82,24,82.12,128
E. Cavani,Uruguay,Manchester United,FWD,Delantero Estrella,1,85,34,82.1,129
D. Malen,Netherlands,Borussia Dortmund,FWD,Delantero Estrella,1,80,22,82.04,130
J. Vertonghen,Belgium,SL Benfica,DEF,Defensa Élite,1,81,34,82.04,131
S. Gnabry,Germany,FC Bayern München,MID,Mediocampista Élite,1,85,25,82.02,132
C. Pulisic,United States,Chelsea,FWD,Delantero Estrella,1,82,22,82.01,133
Josué Chiamulera,Brazil,Grêmio,DEF,Defensa Élite,1,82,29,81.94,134
G. Lo Celso,Argentina,Tottenham Hotspur,MID,Mediocampista Élite,1,81,25,81.92,135
T. Alexander-Arnold,England,Liverpool,DEF,Defensa Élite,1,87,22,81.91,136
Pepe,Portugal,FC Porto,DEF,Defensa Élite,1,82,38,81.82,137
Unai Simón,Spain,Athletic Club de Bilbao,GK,Portero Titular,1,82,24,81.81,138
João Mário,Portugal,SL Benfica,MID,Mediocampista Élite,1,80,28,81.72,139
N. Nández,Uruguay,Cagliari,MID,Mediocampista Defensivo,3,77,25,81.72,140
P. Cissé,Senegal,Olympiacos CFP,DEF,Defensa Central Físico,3,76,25,81.67,141
J. Rodríguez,Uruguay,Cruz Azul,FWD,Delantero Estrella,1,80,27,81.63,142
K. Trapp,Germany,Eintracht Frankfurt,GK,Portero Titular,1,82,30,81.6,143
Rafa,Portugal,SL Benfica,MID,Mediocampista Ofensivo,2,82,28,81.56,144
K. Walker,England,Manchester City,DEF,Defensa Élite,1,85,31,81.55,145
C. Stuani,Uruguay,Girona FC,FWD,Pivote / Referencia,2,76,34,81.53,146
K. Phillips,England,Leeds United,MID,Mediocampista Defensivo,3,81,25,81.49,147
João Cancelo,Portugal,Manchester City,DEF,Defensa Élite,1,86,27,81.46,148
J. Veretout,France,Roma,MID,Mediocampista Élite,1,82,28,81.44,149
J. Sánchez,Mexico,Club América,DEF,Lateral Ofensivo,2,76,23,81.4,150
J. Musso,Argentina,Atalanta,GK,Portero Titular,1,81,27,81.4,151
N. Tagliafico,Argentina,Ajax,DEF,Defensa Élite,1,82,28,81.34,152
H. Lozano,Mexico,Napoli,FWD,Delantero Estrella,1,81,25,81.33,153
A. Rabiot,France,Juventus,MID,Mediocampista Élite,1,81,26,81.3,154
P. Zieliński,Poland,Napoli,MID,Mediocampista Élite,1,81,27,81.27,155
Y. Bounou,Morocco,Sevilla FC,GK,Portero Titular,1,82,30,81.23,156
D. Zakaria,Switzerland,Borussia Mönchengladbach,MID,Mediocampista Defensivo,3,80,24,81.18,157
Danilo Pereira,Portugal,Paris Saint-Germain,MID,Mediocampista Defensivo,3,81,29,81.15,158
R. Freuler,Switzerland,Atalanta,MID,Mediocampista Élite,1,80,29,81.15,159
J. Mæhle,Denmark,Atalanta,DEF,Lateral Ofensivo,2,77,24,81.15,160
A. Lopes,Portugal,Olympique Lyonnais,GK,Portero Titular,1,82,30,81.12,161
C. Romero,Argentina,Tottenham Hotspur,DEF,Defensa Élite,1,82,23,81.1,162
Arturo Inálcio,Brazil,Flamengo,MID,Mediocampista Ofensivo,2,78,21,81.09,163
M. Akanji,Switzerland,Borussia Dortmund,DEF,Defensa Élite,1,80,25,81.09,164
J. Ito,Japan,KRC Genk,FWD,Extremo / Delantero Dinámico,3,77,28,81.02,165
Rui Silva,Portugal,Real Betis Balompié,GK,Portero Titular,1,81,27,81.02,166
Rui Patrício,Portugal,Roma,GK,Portero Titular,1,82,33,81.01,167
A. Christensen,Denmark,Chelsea,DEF,Defensa Élite,1,80,25,81,168
G. Montiel,Argentina,Sevilla FC,DEF,Lateral Ofensivo,2,78,24,81,169
K. Zouma,France,West Ham United,DEF,Defensa Élite,1,81,26,80.95,170
Everton Andrão,Brazil,Fluminense,MID,Mediocampista Defensivo,3,79,25,80.9,171
K. Trippier,England,Atlético de Madrid,DEF,Defensa Élite,1,84,30,80.9,172
L. Cabrera,Uruguay,RCD Espanyol de Barcelona,DEF,Defensa Central Físico,3,77,30,80.87,173
J. Correa,Argentina,Inter,FWD,Delantero Estrella,1,81,26,80.86,174
Y. Abdelhamid,Morocco,Stade de Reims,DEF,Defensa Central Físico,3,77,33,80.86,175
R. Jiménez,Mexico,Wolverhampton Wanderers,FWD,Delantero Estrella,1,83,30,80.83,176
Welington Dano,Brazil,Clube Atlético Mineiro,DEF,Lateral Ofensivo,2,81,21,80.83,177
H. Herrera,Mexico,Atlético de Madrid,MID,Mediocampista Élite,1,81,31,80.79,178
J. Hofmann,Germany,Borussia Mönchengladbach,MID,Mediocampista Élite,1,79,28,80.76,179
D. Livaković,Croatia,Dinamo Zagreb,GK,Portero Titular,1,82,26,80.73,180
M. Taremi,Iran,FC Porto,FWD,Delantero Estrella,1,79,28,80.72,181
J. Aidoo,Ghana,RC Celta de Vigo,DEF,Defensa Central Físico,3,74,25,80.71,182
Jordi Alba,Spain,FC Barcelona,DEF,Defensa Élite,1,86,32,80.69,183
C. Benteke,Belgium,Crystal Palace,FWD,Pivote / Referencia,2,75,30,80.68,184
S. Berghuis,Netherlands,Ajax,FWD,Delantero Estrella,1,81,29,80.64,185
L. Klostermann,Germany,RB Leipzig,DEF,Defensa Élite,1,80,25,80.61,186
D. Godín,Uruguay,Cagliari,DEF,Defensa Élite,1,80,35,80.57,187
Laure Santeiro,Brazil,Fluminense,MID,Mediocampista Ofensivo,2,80,21,80.55,188
Raphaelinho Anjos,Brazil,RB Bragantino,GK,Portero Titular,1,82,33,80.48,189
L. Martínez,Argentina,Ajax,DEF,Defensa Élite,1,79,23,80.42,190
Juiano Mestres,Brazil,Clube Atlético Mineiro,DEF,Defensa Élite,1,81,25,80.39,191
S. Mandanda,France,Olympique de Marseille,GK,Portero Titular,1,81,36,80.37,192
H. Ziyech,Morocco,Chelsea,FWD,Delantero Estrella,1,84,28,80.32,193
J. Vestergaard,Denmark,Leicester City,DEF,Defensa Central Físico,3,78,28,80.31,194
J. Denayer,Belgium,Olympique Lyonnais,DEF,Defensa Élite,1,80,26,80.3,195
A. Ramsey,Wales,Juventus,MID,Mediocampista Élite,1,80,30,80.28,196
Munir,Morocco,Sevilla FC,FWD,Delantero Estrella,1,79,25,80.25,197
Y. Al Shahrani,Saudi Arabia,Al Hilal,DEF,Lateral Ofensivo,2,75,29,80.23,198
S. Mignolet,Belgium,Club Brugge KV,GK,Portero Titular,1,80,33,80.23,199
Adnan Vidual,Brazil,Internacional,DEF,Lateral Ofensivo,2,79,29,80.21,200
M. Dahoud,Germany,Borussia Dortmund,MID,Mediocampista Élite,1,79,25,80.2,201
Z. Feddal,Morocco,Sporting CP,DEF,Defensa Élite,1,80,31,80.2,202
K. Toko Ekambi,Cameroon,Olympique Lyonnais,FWD,Extremo / Delantero Dinámico,3,78,28,80.18,203
D. Klaassen,Netherlands,Ajax,MID,Mediocampista Élite,1,79,28,80.17,204
E. Boateng,Ghana,Dalian Professional Football Club,FWD,Extremo / Delantero Dinámico,3,76,25,80.13,205
M. Acuña,Argentina,Sevilla FC,DEF,Defensa Élite,1,84,29,80.11,206
S. Coates,Uruguay,Sporting CP,DEF,Defensa Élite,1,83,30,80.11,207
J. David,Canada,LOSC Lille,FWD,Extremo / Delantero Dinámico,3,78,21,80.07,208
N. Maksimović,Serbia,Getafe CF,MID,Mediocampista Defensivo,3,79,26,80.04,209
Nuno Mendes,Portugal,Paris Saint-Germain,DEF,Lateral Ofensivo,2,78,19,80.04,210
R. Guerreiro,Portugal,Borussia Dortmund,DEF,Lateral Ofensivo,2,84,27,80,211
N. Gudelj,Serbia,Sevilla FC,MID,Mediocampista Defensivo,3,79,29,79.93,212
N. Vlašić,Croatia,West Ham United,MID,Mediocampista Élite,1,80,23,79.88,213
Nuno Padrenda,Brazil,Clube Atlético Mineiro,FWD,Delantero Estrella,1,77,25,79.87,214
J. Bellingham,England,Borussia Dortmund,MID,Mediocampista Defensivo,3,79,18,79.85,215
G. Rodríguez,Argentina,Real Betis Balompié,MID,Mediocampista Defensivo,3,78,26,79.8,216
N. De la Cruz,Uruguay,River Plate,MID,Mediocampista Élite,1,78,24,79.78,217
A. Guardado,Mexico,Real Betis Balompié,MID,Mediocampista Élite,1,78,34,79.76,218
N. Mazraoui,Morocco,Ajax,DEF,Lateral Ofensivo,2,80,23,79.76,219
P. Estupiñán,Ecuador,Villarreal CF,DEF,Lateral Ofensivo,2,79,23,79.76,220
R. Gosens,Germany,Atalanta,DEF,Defensa Élite,1,83,26,79.74,221
A. Hakimi,Morocco,Paris Saint-Germain,DEF,Defensa Élite,1,85,22,79.71,222
H. Diallo,Senegal,RC Strasbourg Alsace,FWD,Pivote / Referencia,2,75,26,79.68,223
Tony Abranjes,Brazil,Internacional,DEF,Defensa Élite,1,80,33,79.65,224
T. Koopmeiners,Netherlands,Atalanta,MID,Mediocampista Élite,1,79,23,79.63,225
F. Wirtz,Germany,Bayer 04 Leverkusen,MID,Mediocampista Ofensivo,2,78,18,79.61,226
R. Gravenberch,Netherlands,Ajax,MID,Mediocampista Élite,1,78,19,79.6,227
D. Kamada,Japan,Eintracht Frankfurt,MID,Mediocampista Ofensivo,2,79,24,79.57,228
A. Tchouaméni,France,AS Monaco,MID,Mediocampista Élite,1,79,21,79.53,229
E. Álvarez,Mexico,Ajax,MID,Mediocampista Defensivo,3,77,23,79.52,230
D. Henderson,England,Manchester United,GK,Portero Titular,1,80,24,79.52,231
Albertinho Dutra,Brazil,São Paulo,FWD,Extremo / Delantero Dinámico,3,78,29,79.51,232
N. Elvedi,Switzerland,Borussia Mönchengladbach,DEF,Defensa Élite,1,79,24,79.45,233
S. Dest,United States,FC Barcelona,DEF,Lateral Ofensivo,2,76,20,79.43,234
D. Calvert-Lewin,England,Everton,FWD,Extremo / Delantero Dinámico,3,81,24,79.4,235
I. Sarr,Senegal,Watford,FWD,Delantero Estrella,1,78,23,79.39,236
K. Adeyemi,Germany,FC Red Bull Salzburg,FWD,Extremo / Delantero Dinámico,3,71,19,79.39,237
Š. Vrsaljko,Croatia,Atlético de Madrid,DEF,Defensa Élite,1,80,29,79.37,238
D. Sow,Switzerland,Eintracht Frankfurt,MID,Mediocampista Defensivo,3,77,24,79.36,239
M. Dmitrović,Serbia,Sevilla FC,GK,Portero Titular,1,80,29,79.36,240
D. Dumfries,Netherlands,Inter,DEF,Defensa Élite,1,82,25,79.35,241
R. Bentancur,Uruguay,Juventus,MID,Mediocampista Defensivo,3,78,24,79.34,242
F. Martínez,Ecuador,Club Tijuana,FWD,Extremo / Delantero Dinámico,3,75,31,79.27,243
Hwang Hee Chan,Korea Republic,Wolverhampton Wanderers,FWD,Extremo / Delantero Dinámico,3,75,25,79.21,244
G. Bale,Wales,Real Madrid CF,MID,Mediocampista Élite,1,82,31,79.21,245
P. Diop,Senegal,UD Ibiza,MID,Mediocampista Defensivo,3,78,35,79.21,246
Héniton Pires,Brazil,Flamengo,GK,Portero Titular,1,80,25,79.2,247
A. Mitrović,Serbia,Fulham,FWD,Pivote / Referencia,2,75,26,79.19,248
J. Brooks,United States,VfL Wolfsburg,DEF,Defensa Central Físico,3,78,28,79.14,249
M. Vecino,Uruguay,Inter,MID,Mediocampista Élite,1,78,29,79.12,250
R. Saïss,Morocco,Wolverhampton Wanderers,DEF,Defensa Élite,1,78,31,79.08,251
D. Ćaleta-Car,Croatia,Olympique de Marseille,DEF,Defensa Élite,1,78,24,79.05,252
R. Alvarado,Mexico,Cruz Azul,MID,Mediocampista Ofensivo,2,76,22,79.03,253
F. Muslera,Uruguay,Galatasaray SK,GK,Portero Titular,1,80,35,79.03,254
G. Ochoa,Mexico,Club América,GK,Portero Titular,1,80,35,79.02,255
R. Cannon,United States,Boavista FC,DEF,Lateral Ofensivo,2,73,23,78.99,256
Maikel Catarino,Brazil,Sport Club Corinthians Paulista,DEF,Lateral Ofensivo,2,80,25,78.95,257
A. Mooy,Australia,Shanghai Port FC,MID,Mediocampista Élite,1,77,30,78.94,258
G. Reyna,United States,Borussia Dortmund,MID,Mediocampista Ofensivo,2,77,18,78.88,259
N. Süle,Germany,FC Bayern München,DEF,Defensa Central Físico,3,82,25,78.87,260
R. Araujo,Uruguay,FC Barcelona,DEF,Defensa Central Físico,3,77,22,78.87,261
R. Bürki,Switzerland,Borussia Dortmund,GK,Portero Titular,1,80,30,78.87,262
A. Taarabt,Morocco,SL Benfica,MID,Mediocampista Élite,1,77,32,78.84,263
T. Castagne,Belgium,Leicester City,DEF,Lateral Ofensivo,2,79,25,78.84,264
A. Zambo Anguissa,Cameroon,Napoli,MID,Mediocampista Defensivo,3,76,25,78.83,265
D. Raum,Germany,TSG Hoffenheim,DEF,Lateral Ofensivo,2,73,23,78.83,266
E. Valencia,Ecuador,Fenerbahçe SK,FWD,Extremo / Delantero Dinámico,3,75,31,78.81,267
D. Praet,Belgium,Torino F.C.,MID,Mediocampista Élite,1,78,27,78.81,268
M. Arambarri,Uruguay,Getafe CF,MID,Mediocampista Defensivo,3,79,25,78.8,269
F. Armani,Argentina,River Plate,GK,Portero Titular,1,80,34,78.77,270
K. Piątek,Poland,Hertha BSC,FWD,Pivote / Referencia,2,76,26,78.74,271
G. Kobel,Switzerland,Borussia Dortmund,GK,Portero Titular,1,79,23,78.73,272
M. Salisu,Ghana,Southampton,DEF,Defensa Central Físico,3,76,22,78.72,273
J. Gallardo,Mexico,CF Monterrey,DEF,Lateral Ofensivo,2,75,26,78.68,274
B. Davies,Wales,Tottenham Hotspur,DEF,Defensa Élite,1,79,28,78.66,275
M. Pongračić,Croatia,Borussia Dortmund,DEF,Defensa Central Físico,3,75,23,78.66,276
L. Majer,Croatia,Stade Rennais FC,MID,Mediocampista Ofensivo,2,76,23,78.64,277
W. McKennie,United States,Juventus,MID,Mediocampista Defensivo,3,77,22,78.62,278
B. Sosa,Croatia,VfB Stuttgart,DEF,Lateral Ofensivo,2,77,23,78.61,279
N. Milenković,Serbia,Fiorentina,DEF,Defensa Central Físico,3,76,23,78.55,280
K. Sulemana,Ghana,Stade Rennais FC,FWD,Extremo / Delantero Dinámico,3,72,19,78.51,281
Á. Mena,Ecuador,Club León,MID,Mediocampista Ofensivo,2,78,33,78.51,282
A. Kolarov,Serbia,Inter,DEF,Defensa Élite,1,78,35,78.51,283
O. Idrissi,Morocco,Sevilla FC,FWD,Extremo / Delantero Dinámico,3,76,25,78.49,284
E. Skhiri,Tunisia,1. FC Köln,MID,Mediocampista Defensivo,3,77,26,78.46,285
Prazeracinho,Brazil,Flamengo,FWD,Extremo / Delantero Dinámico,3,78,21,78.42,286
W. Zimmerman,United States,Nashville SC,DEF,Defensa Central Físico,3,74,28,78.42,287
J. Andersen,Denmark,Crystal Palace,DEF,Defensa Central Físico,3,77,25,78.41,288
M. Cáceres,Uruguay,Cagliari,DEF,Defensa Central Físico,3,76,34,78.41,289
A. Diallo,Senegal,Paris Saint-Germain,DEF,Defensa Élite,1,78,25,78.4,290
Kim Tae Hwan,Korea Republic,Ulsan Hyundai FC,DEF,Lateral Ofensivo,2,72,31,78.39,291
W. Endo,Japan,VfB Stuttgart,MID,Mediocampista Defensivo,3,78,28,78.36,292
Y. En-Nesyri,Morocco,Sevilla FC,FWD,Extremo / Delantero Dinámico,3,82,24,78.35,293
Gayà,Spain,Valencia CF,DEF,Defensa Élite,1,83,26,78.33,294
Gabri Prestão,Brazil,Internacional,GK,Portero de Reserva,2,79,29,78.27,295
T. Kehrer,Germany,Paris Saint-Germain,DEF,Defensa Central Físico,3,76,24,78.26,296
Antônio Chiamuloira,Brazil,Internacional,DEF,Defensa Élite,1,78,21,78.25,297
J. Bednarek,Poland,Southampton,DEF,Defensa Central Físico,3,76,25,78.23,298
M. Pašalić,Croatia,Atalanta,MID,Mediocampista Élite,1,78,26,78.17,299
D. Boyata,Belgium,Hertha BSC,DEF,Defensa Élite,1,78,30,78.17,300
P. Rajković,Serbia,Stade de Reims,GK,Portero de Reserva,2,78,25,78.09,301
L. Dendoncker,Belgium,Wolverhampton Wanderers,MID,Mediocampista Defensivo,3,77,26,78.08,302
D. Yedlin,United States,Galatasaray SK,DEF,Lateral Ofensivo,2,73,27,78.08,303
Oswaldinato,Brazil,Flamengo,FWD,Extremo / Delantero Dinámico,3,81,29,78.07,304
M. Hitz,Switzerland,Borussia Dortmund,GK,Portero de Reserva,2,78,33,78.07,305
O. Pineda,Mexico,Cruz Azul,MID,Mediocampista Ofensivo,2,77,25,78.04,306
